COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
WINTON HILLS,"5486 GARDENVIEW LN
Cincinnati, OH
(39.19119942697541, -84.51731206852953)",Litter private property,SR12054203,NEW     ,litter and debris all the rear of the property,12/17/2012 12:00:00 AM,12:19 PM,5486 GARDENVIEW LN - GJ1442540913,80,STANDARD,PHONE,23700040032,12/17/2012 12:00:00 AM,TGROME,01/31/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1396830,440180,
CUF,"2401 CLIFTON AV
Cincinnati, OH
(39.12654489407016, -84.51963850636612)",Litter private property,SR12054201,CLOS-NO ,West Clifton Ave green spaces : on both sides of the street  the grass planted next to our sidewalks are covered in broken glass. UC students continue to disrespect this neighborhood with their trash and litter. Please help!,12/17/2012 12:00:00 AM,12:15 PM,2401 CLIFTON AV CINC - GJ1438533694,26,STANDARD,INTERNET,10000020371,12/17/2012 12:00:00 AM,CSRWEB,01/31/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1395520,416539,
EAST PRICE HILL,"753 WOODLAWN AV
Cincinnati, OH
(39.10533024973478, -84.56774449418612)",Litter private property,SR12054195,CLOS-NO ,TRASH/LITTER IN REAR OF PROPERTY.  CAN VIEW FROM FAIRBANKS AVENUE.,12/17/2012 12:00:00 AM,11:57 AM,753 WOODLAWN AV - GJ1029431283,96,STANDARD,PHONE,17600210108,12/17/2012 12:00:00 AM,SHMORRIS,01/31/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1381724,409305,
EAST PRICE HILL,"755 WOODLAWN AV
Cincinnati, OH
(39.105402195497106, -84.56774449418612)",Litter private property,SR12054192,CLOS-NO ,TRASH/LITTER IN REAR OF RENTAL PROPERTY.  CAN VIEW FROM FAIRBANKS AVENUE.,12/17/2012 12:00:00 AM,11:55 AM,755 WOODLAWN AV - GJ1029431291,96,STANDARD,PHONE,17600210074,12/17/2012 12:00:00 AM,SHMORRIS,01/31/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1381727,409331,
EAST PRICE HILL,"757 WOODLAWN AV
Cincinnati, OH
(39.105483134479755, -84.5677355009658)",Litter private property,SR12054189,CIVIL   ,TRASH/LITTER IN REAR OF PROPERTY.  CAN VIEW FROM FAIRBANKS.,12/17/2012 12:00:00 AM,11:51 AM,757 WOODLAWN AV - GJ1029631300,96,STANDARD,PHONE,17600210107,12/17/2012 12:00:00 AM,SHMORRIS,01/31/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1381733,409359,
AVONDALE,"3565 VAN ANTWERP PL
Cincinnati, OH
(39.14719369019872, -84.49376626405586)",Litter private property,SR12054179,CLOS-NO ,TRASH FURNITURE ALL OVER ABANDONED APT. BLDG.  BEING USED AS A DUMPING GROUND.  CALLER NOT CERTAIN IF IT IS 3565.,12/17/2012 12:00:00 AM,11:02 AM,3565 VAN ANTWERP PL - GJ1656636091,68,STANDARD,PHONE,11200060047,12/17/2012 12:00:00 AM,SHMORRIS,01/31/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1403060,424033,
EAST PRICE HILL,"3459 BASSETT RD
Cincinnati, OH
(39.10090558535063, -84.56891361282419)",Litter private property,SR12054118,DUPLICAT,mattress on the side of road it is a hill a large hill and people are dumping mattresses and tires there-if you are going down Bassett Rd it would be on the left side.,12/16/2012 12:00:00 AM,7:53 PM,3459 BASSETT RD CINC - GJ1022430767,96,STANDARD,INTERNET,17700340156,12/16/2012 12:00:00 AM,CSRWEB,01/30/2013 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1381410,407627,
EAST PRICE HILL,"717 FAIRBANKS AV
Cincinnati, OH
(39.10432300906194, -84.5690035450271)",Litter private property,SR12054117,CLOS-NO ,12/17/2012 7:44 AM/KMALONEold matress on hill by property old matress on hill by property,12/16/2012 12:00:00 AM,7:50 PM,717 FAIRBANKS AV CINC - GJ1019231167,96,STANDARD,INTERNET,17600240073,12/16/2012 12:00:00 AM,CSRWEB,01/31/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1381369,408941,
EAST PRICE HILL,"664 FAIRBANKS AV
Cincinnati, OH
(39.103108924322385, -84.56906649756917)",Litter private property,SR12054116,CLOS-NO ,broken tv set on public sidewalk,12/16/2012 12:00:00 AM,7:47 PM,664 FAIRBANKS AV CINC - GJ1022731030,96,STANDARD,INTERNET,17600210096,12/16/2012 12:00:00 AM,CSRWEB,01/30/2013 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1381462,408487,
CUF,"325 W MCMILLAN ST
Cincinnati, OH
(39.12808309707606, -84.52368670797068)",Litter private property,SR12054095,DUPLICAT,trash bags open and spilling over on side of house.   trash on sidewalk next to house on victor st side (spilling into street.)trash on porch and all over front of property.,12/15/2012 12:00:00 AM,12:27 PM,325 W MCMILLAN ST CINC - GJ1405233894,26,STANDARD,INTERNET,10000010192,12/15/2012 12:00:00 AM,CSRWEB,01/29/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1394462,417247,W 
EAST PRICE HILL,"3003 W 8TH ST
Cincinnati, OH
(39.1057259514277, -84.56142226032011)",Litter private property,SR12054079,CLOS-NO ,litter on property,12/14/2012 12:00:00 AM,4:15 PM,3003 W 8TH ST - GJ1085931322,96,STANDARD,PHONE,17800250092,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1383582,409341,W 
EAST PRICE HILL,"3005 W 8TH ST
Cincinnati, OH
(39.1057259514277, -84.56152118574335)",Litter private property,SR12054078,CLOS-NO ,litter on property,12/14/2012 12:00:00 AM,4:13 PM,3005 W 8TH ST - GJ1084931320,96,STANDARD,PHONE,17800250111,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1383550,409334,W 
AVONDALE,"567 PROSPECT PL
Cincinnati, OH
(39.14303882242331, -84.49478249794902)",Litter private property,SR12054066,CIVIL   ,LITTER/DEBRIS ON PROPERTY.,12/14/2012 12:00:00 AM,2:55 PM,567 PROSPECT PL - GJ1650135626,67,STANDARD,PHONE,10700080098,12/14/2012 12:00:00 AM,SHMORRIS,01/28/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1402770,422520,
WESTWOOD,"2580 HARRISON AV
Cincinnati, OH
(39.1419056766664, -84.58590180595769)",Litter private property,SR12054049,NEW     ,GARBAGE/TRASH LEFT AT CURB THAT COLLECTION DID NOT TAKE.,12/14/2012 12:00:00 AM,1:32 PM,2580 HARRISON AV - GJ0863635325,100.02,STANDARD,PHONE,20800550078,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1376950,422816,
WEST END,"834 YORK ST
Cincinnati, OH
(39.11725525984332, -84.52839016218394)",Litter private property,SR12054032,NEW     ,litter and debris in the rear of the proeprty go to 832 York view,12/14/2012 12:00:00 AM,11:45 AM,834 YORK ST - GJ1367832720,15,STANDARD,PHONE,13200020076,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1393044,413462,
MADISONVILLE,"4927 JAMESON ST
Cincinnati, OH
(39.15917265962895, -84.38335649851871)",Litter private property,SR12054025,CIVIL   ,litter on property,12/14/2012 12:00:00 AM,10:57 AM,4927 JAMESON ST - GJ2607237703,56,STANDARD,PHONE,3700030081,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1434459,427767,
MADISONVILLE,"4924 JAMESON ST
Cincinnati, OH
(39.15915467318837, -84.38328455275638)",Litter private property,SR12054021,CLOS-NO ,litter on the porch and all over,12/14/2012 12:00:00 AM,10:52 AM,4924 JAMESON ST - GJ2610937698,56,STANDARD,PHONE,3700030091,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1434581,427744,
WEST PRICE HILL,"3914 W LIBERTY ST
Cincinnati, OH
(39.11706640221712, -84.57868924328267)",Litter private property,SR12054009,CLOS-NO ,litter and debris on property,12/14/2012 12:00:00 AM,10:15 AM,3914 W LIBERTY ST - GJ0933432575,98,STANDARD,PHONE,18100010004,12/14/2012 12:00:00 AM,TGROME,01/28/2013 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1378788,413692,W 
WEST PRICE HILL,"4262 LOUBELL LN
Cincinnati, OH
(39.106715205659896, -84.59224202626422)",Litter private property,SR12053990,CLOS-NO ,car bumper on curb for weeks,12/14/2012 12:00:00 AM,8:56 AM,4262 LOUBELL LN CINC - GJ0819231400,99.02,STANDARD,INTERNET,17900790279,12/14/2012 12:00:00 AM,CSRWEB,01/28/2013 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1374856,410029,
WEST PRICE HILL,"704 WILBUD DR
Cincinnati, OH
(39.10480864295778, -84.59135169745525)",Litter private property,SR12053989,NEW     ,trash cans on curb friday trash day is monday,12/14/2012 12:00:00 AM,8:54 AM,704 WILBUD DR CINC - GJ0829431171,99.02,STANDARD,INTERNET,17900790363,12/14/2012 12:00:00 AM,CSRWEB,01/28/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1375154,409262,
WESTWOOD,"2713 EUGENIE LN
Cincinnati, OH
(39.13968435125406, -84.5912437788117)",Litter private property,SR12053966,CIVIL   ,Overflowing cans and bags of garbage have been piled up in the driveway for weeks. This house has been used as a daycare center (and apparently been investigated for the same) for a very long time.,12/13/2012 12:00:00 AM,7:15 PM,2713 EUGENIE LN CINC - GJ0818135012,100.01,STANDARD,INTERNET,20800610031,12/13/2012 12:00:00 AM,CSRWEB,01/27/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1375408,421866,
CUF,"2433 VINE ST
Cincinnati, OH
(39.127174781826454, -84.51182465040421)",Litter private property,SR12053961,CLOS-NO ,Request entered through the Web. Refer to Intake Questions for further description.,12/13/2012 12:00:00 AM,5:15 PM,2433 VINE ST CINC - GJ1507133841,25,STANDARD,INTERNET,10000040082,12/13/2012 12:00:00 AM,CSRWEB,01/27/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1397791,416908,
CUF,"2433 OHIO AV
Cincinnati, OH
(39.12702189708148, -84.51504422326911)",Litter private property,SR12053960,CIVIL   ,Request entered through the Web. Refer to Intake Questions for further description.,12/13/2012 12:00:00 AM,5:14 PM,2433 OHIO AV CINC - GJ1479233809,25,STANDARD,INTERNET,10000030047,12/13/2012 12:00:00 AM,CSRWEB,01/27/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1396873,416847,
MOUNT AUBURN,"3 ESTELLE ST
Cincinnati, OH
(39.11855028356547, -84.51007097244712)",Litter private property,SR12053951,CIVIL   ,LITTER ON VACANT LOT,12/13/2012 12:00:00 AM,4:03 PM,3 ESTELLE ST - GJ1526032877,23,STANDARD,PHONE,8800080119,12/13/2012 12:00:00 AM,WJACOBY,01/27/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1398251,413717,
CUF,"2420 CLIFTON AV
Cincinnati, OH
(39.12691094513239, -84.51939160471113)",Litter private property,SR12053946,CIVIL   ,litter and debris in front yard see photos,12/13/2012 12:00:00 AM,3:41 PM,2420 CLIFTON AV - GJ1444333767,25,STANDARD,PHONE,10000020225,12/13/2012 12:00:00 AM,TGROME,01/27/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1395722,416768,
WESTWOOD,"3145 SUNSHINE AV
Cincinnati, OH
(39.14533209359803, -84.57875219582473)",Litter private property,SR12053865,CIVIL   ,mattress and litter on property,12/13/2012 12:00:00 AM,10:43 AM,3145 SUNSHINE AV - GJ0923135700,100.02,STANDARD,PHONE,20700540081,12/13/2012 12:00:00 AM,FFORTNEY,01/27/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1378961,423948,
SOUTH CUMMINSVILLE,"3944 TAPPAN AV
Cincinnati, OH
(39.15926259183192, -84.55468633832066)",Litter private property,SR12053862,CIVIL   ,large amount of debris on property,12/13/2012 12:00:00 AM,10:32 AM,3944 TAPPAN AV - GJ1129737298,77,STANDARD,PHONE,19200640054,12/13/2012 12:00:00 AM,FFORTNEY,01/27/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1385989,428847,
AVONDALE,"3624 WILSON AV
Cincinnati, OH
(39.15006252747219, -84.50258861316331)",Litter private property,SR12053806,CLOS-NO ,LITTER ALL OVER THE PROPERTY,12/12/2012 12:00:00 AM,4:28 PM,3624 WILSON AV - GJ1583436399,69,STANDARD,PHONE,21600450039,12/12/2012 12:00:00 AM,CCOLEMAN,01/26/2013 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1400705,425162,
MADISONVILLE,"5212 RAVENNA ST
Cincinnati, OH
(39.1631296765579, -84.39399547812536)",Litter private property,SR12053801,CIVIL   ,The litter is all over this property. There are pieces of furniture old carpet old toys etc littering the front back and side yard. The back is the worst. It looks to be unsafe and unsanitary. Neighborhood animals and children play around this stuff. Ther,12/12/2012 12:00:00 AM,4:14 PM,5212 RAVENNA ST CINC - GJ2517138110,55,STANDARD,INTERNET,3500020110,12/12/2012 12:00:00 AM,CSRWEB,01/26/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1431575,429246,
WALNUT HILLS,"2635 STANTON AV
Cincinnati, OH
(39.12890148012275, -84.49230936236842)",Litter private property,SR12053779,CIVIL   ,Litter and debris (mattress tires overturned trash can) in rear of property.,12/12/2012 12:00:00 AM,2:47 PM,2635 STANTON AV - GJ1673934076,35,STANDARD,PHONE,7000020128,12/12/2012 12:00:00 AM,VMOORE,01/26/2013 12:00:00 AM,,,12/12/2012 12:00:00 AM,,1403291,417404,
PLEASANT RIDGE,"2870 LOSANTIVILLE AV
Cincinnati, OH
(39.18648506965883, -84.4338804101248)",Litter private property,SR12053737,CLOS-NO ,litter in back yard go to 2896 Losantiville to view,12/12/2012 12:00:00 AM,11:24 AM,2870 LOSANTIVILLE AV - GJ2164340618,57.01,STANDARD,PHONE,12200010033,12/12/2012 12:00:00 AM,TGROME,01/26/2013 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1420428,438036,
PLEASANT RIDGE,"2862 LOSANTIVILLE AV
Cincinnati, OH
(39.18660198152264, -84.43406027453068)",Litter private property,SR12053735,CLOS-NO ,litter and yard waste in rear go to 2896 Losantiville,12/12/2012 12:00:00 AM,11:23 AM,2862 LOSANTIVILLE AV - GJ2162440637,57.01,STANDARD,PHONE,12200010030,12/12/2012 12:00:00 AM,TGROME,01/26/2013 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1420370,438103,
PLEASANT RIDGE,"2858 LOSANTIVILLE AV
Cincinnati, OH
(39.18633112575604, -84.43362647376348)",Litter private property,SR12053733,CLOS-NO ,litter and debris in front yard,12/12/2012 12:00:00 AM,11:20 AM,2858 LOSANTIVILLE AV - GJ2159440664,57.01,STANDARD,PHONE,12200010025,12/12/2012 12:00:00 AM,TGROME,01/26/2013 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1420275,438196,
PLEASANT RIDGE,"6225 BONA VISTA PL
Cincinnati, OH
(39.187159561180806, -84.43216270504882)",Litter private property,SR12053732,CLOS-NO ,litter in front yard,12/12/2012 12:00:00 AM,11:20 AM,6225 BONA VISTA PL - GJ2176840694,57.01,STANDARD,PHONE,12200010272,12/12/2012 12:00:00 AM,TGROME,01/26/2013 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1420851,438264,
NORTH AVONDALE,"1625 ASMANN AV
Cincinnati, OH
(39.157284083367415, -84.47406211839393)",Litter private property,SR12053703,CIVIL   ,litter in the rear of the premises,12/12/2012 12:00:00 AM,9:55 AM,1625 ASMANN AV - GJ1825337252,65,STANDARD,PHONE,10900050076,12/12/2012 12:00:00 AM,YBRAY,01/26/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1408768,427559,
