CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,COMMUNITY,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION,Location 1
SR12052692,INPROGRS,Recycling new 35 gallon cart,We are a newly renovated single family home requesting a recycling bin for the first time. We also need a garbage can... if you could deliver BOTH a garbage and recycling container of this size we'd really appreciate it! Thank you! :),12/03/2012 12:00:00 AM,3:39 PM,525 DANDRIDGE ST CINC - GJ1564232081,PENDLETON,11,STANDARD,INTERNET,7500020157,12/03/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1399377,411048,,"525 DANDRIDGE ST
Cincinnati, OH
(39.111328727670184, -84.50623086738199)"
SR12052672,INPROGRS,Recycling new 96 gallon cart, ,12/03/2012 12:00:00 AM,2:03 PM,545 DELTA AV - GJ2151433310,COLUMBIA TUSCULUM,49,STANDARD,PHONE,3000030113,12/03/2012 12:00:00 AM,CCOLEMAN,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1418810,414116,,"545 DELTA AV
Cincinnati, OH
(39.12051080558939, -84.43705501688822)"
SR12052660,INPROGRS,Recycling new 64 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,1:26 PM,4256 LANGLAND ST CINC - GJ1272837998,NORTHSIDE,74,STANDARD,INTERNET,19600230107,12/03/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1390793,430907,,"4256 LANGLAND ST
Cincinnati, OH
(39.16520711044558, -84.53792297569453)"
SR12052521,INPROGRS,Recycling new 96 gallon cart,This is a newly remodeled building. Multiple people living in each unit. Would like to have at least one container per unit.,12/02/2012 12:00:00 AM,10:52 AM,226 E ROCHELLE ST CINC - GJ1571634614,CORRYVILLE,32,STANDARD,INTERNET,10400040172,12/02/2012 12:00:00 AM,CSRWEB,12/12/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1400030,419334,E ,"226 E ROCHELLE ST
Cincinnati, OH
(39.13389480137869, -84.50414697938027)"
SR12052520,INPROGRS,Recycling new 96 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,12/02/2012 12:00:00 AM,10:48 AM,222 E ROCHELLE ST CINC - GJ1570234621,CORRYVILLE,32,STANDARD,INTERNET,10400040174,12/02/2012 12:00:00 AM,CSRWEB,12/12/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1399987,419358,E ,"222 E ROCHELLE ST
Cincinnati, OH
(39.13387473094474, -84.50440524366252)"
SR12052501,INPROGRS,Recycling contaminated cart,Please collect 2 96 gal carts- they are contaminated.,11/30/2012 12:00:00 AM,5:36 PM,119 E MCMICKEN AV - GJ1492532388,OVER-THE-RHINE,17,STANDARD,PHONE,9400070222,11/30/2012 12:00:00 AM,RHENDERSON,12/07/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1397074,412167,E ,"119 E MCMICKEN AV
Cincinnati, OH
(39.11419756494365, -84.51401000293544)"
SR12052493,INPROGRS,Recycling new 96 gallon cart,Requesting a New 96gal toter,11/30/2012 12:00:00 AM,3:39 PM,3928 LEYMAN DR - GJ1682637224,NORTH AVONDALE,65,STANDARD,PHONE,01150A030006      ,11/30/2012 12:00:00 AM,DSWEETEN,12/10/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1404090,427702,,"3928 LEYMAN DR
Cincinnati, OH
(39.1573290494689, -84.49093339966362)"
SR12052476,INPROGRS,Recycling cart missing 96,My current cart went missing but I am still receiving emails about Recyclebank reward points. Is there a way to determine where it went to based on the RFID or is can I get a new cart? I can be contact either by email (john.gradoville@gmail.com) or phone ,11/30/2012 12:00:00 AM,2:09 PM,1043 CENTRAL AV CINC - GJ1433431556,WEST END,8,STANDARD,INTERNET,13400050526,11/30/2012 12:00:00 AM,CSRWEB,12/10/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1395003,409549,,"1043 CENTRAL AV
Cincinnati, OH
(39.10686809040487, -84.52106068764516)"
SR12052466,INPROGRS,Recycling cart missing 96,Several months ago after the recycling was picked up the bins for ourself and our neighbor went missing.  We are requesting the replacement of 2 bins in our 5 unit building.,11/30/2012 12:00:00 AM,1:18 PM,2584 MADISON RD CINC - GJ2055435707,HYDE PARK,50,STANDARD,INTERNET,4200020051,11/30/2012 12:00:00 AM,CSRWEB,12/10/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1416061,422124,,"2584 MADISON RD
Cincinnati, OH
(39.142436276663716, -84.4479008405616)"
SR12052448,INPROGRS,Recycling new 96 gallon cart,Bought the house and it had no recycling carts...,11/30/2012 12:00:00 AM,11:30 AM,4235 HAMILTON AV CINC - GJ1246437917,NORTHSIDE,78,STANDARD,INTERNET,19600260072,11/30/2012 12:00:00 AM,CSRWEB,12/10/2012 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1389917,430686,,"4235 HAMILTON AV
Cincinnati, OH
(39.1645595985845, -84.54054000279979)"
SR12052370,INPROGRS,Recycling new 96 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/29/2012 12:00:00 AM,1:41 PM,3731 ISABELLA AV CINC - GJ2182836048,OAKLEY,52,STANDARD,INTERNET,3900050090,11/29/2012 12:00:00 AM,CSRWEB,12/09/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1420290,423034,,"3731 ISABELLA AV
Cincinnati, OH
(39.14535907325893, -84.4328371965708)"
SR12052359,INPROGRS,Recycling new 64 gallon cart,We are new owners of the home and do not have a cart.,11/29/2012 12:00:00 AM,12:39 PM,3077 BELDEN CIR CINC - GJ0605135019,WESTWOOD,102.01,STANDARD,INTERNET,21200610271,11/29/2012 12:00:00 AM,CSRWEB,12/09/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1368430,422236,,"3077 BELDEN CIR
Cincinnati, OH
(39.14012501904841, -84.61563339224631)"
SR12052326,INPROGRS,Recycling new 35 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/29/2012 12:00:00 AM,10:46 AM,935 ENRIGHT AV CINC - GJ0987031665,EAST PRICE HILL,95,STANDARD,INTERNET,17600220152,11/29/2012 12:00:00 AM,CSRWEB,12/09/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1380397,410626,,"935 ENRIGHT AV
Cincinnati, OH
(39.10885559208964, -84.57250190772112)"
SR12052174,INPROGRS,Recycling new 35 gallon cart, ,11/28/2012 12:00:00 AM,10:40 AM,2580 RIVERSIDE DR - GJ1969333566,EAST END,44,STANDARD,PHONE,3100050195,11/28/2012 12:00:00 AM,CCOLEMAN,12/08/2012 12:00:00 AM,,,11/28/2012 12:00:00 AM,,1412888,415252,,"2580 RIVERSIDE DR
Cincinnati, OH
(39.12344259540487, -84.45869270491318)"
SR12052140,INPROGRS,Recycling new 35 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/28/2012 12:00:00 AM,8:50 AM,4204 BADGELEY CIR CINC - GJ1156138037,NORTHSIDE,79,STANDARD,INTERNET,19500310271,11/28/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,,11/28/2012 12:00:00 AM,,1386980,431226,,"4204 BADGELEY CIR
Cincinnati, OH
(39.16577737331955, -84.55152267360171)"
SR12052108,INPROGRS,Recycling new 96 gallon cart,Due to the number of events where cans and bottles are used we could utilize 2 96 gallon carts if available,11/27/2012 12:00:00 AM,4:09 PM,3738 EASTERN AV CINC - GJ2170432342,COLUMBIA TUSCULUM,44,STANDARD,INTERNET,2700030072,11/27/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1419278,410914,,"3738 EASTERN AV
Cincinnati, OH
(39.11206617173423, -84.43615569485894)"
SR12052100,INPROGRS,Recycling new 96 gallon cart,Please deliver TWO 96 gallon carts to this business. Thanks. Part of Visit & Verify canvass efforts in Mt. Adams. Deliver to Louden side of building.,11/27/2012 12:00:00 AM,3:51 PM,942 HATCH ST CINC - GJ1640531901,MOUNT ADAMS,13,STANDARD,INTERNET,7200010128,11/27/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1401846,410333,,"942 HATCH ST
Cincinnati, OH
(39.10928726666373, -84.49715670810633)"
SR12052087,INPROGRS,Recycling new 64 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/27/2012 12:00:00 AM,3:15 PM,3140 WESTBROOK DR CINC - GJ0686334987,WESTWOOD,102.01,STANDARD,INTERNET,20800600406,11/27/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1371084,422000,,"3140 WESTBROOK DR
Cincinnati, OH
(39.13931562922204, -84.60649628042864)"
SR12052074,INPROGRS,Recycling new 64 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/27/2012 12:00:00 AM,2:43 PM,4122 LANGLAND ST CINC - GJ1270537604,NORTHSIDE,74,STANDARD,INTERNET,19600220116,11/27/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1390653,429622,,"4122 LANGLAND ST
Cincinnati, OH
(39.16167277487045, -84.53827371128597)"
SR12052071,INPROGRS,Recycling new 64 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/27/2012 12:00:00 AM,2:31 PM,616 BURR OAK ST CINC - GJ1463839069,SPRING GROVE VILLAGE,73,STANDARD,INTERNET,22000570006,11/27/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1397227,434105,,"616 BURR OAK ST
Cincinnati, OH
(39.17423630361975, -84.51519710801409)"
SR12052061,INPROGRS,Recycling new 96 gallon cart,Please deliver 2 (two) 96 gallon carts for every other week curbside service. (rumpke billable) to the Oakley recreation center.,11/27/2012 12:00:00 AM,2:01 PM,3882 PAXTON AV - GJ2230236366,OAKLEY,53,STANDARD,PHONE,00390A030001      ,11/27/2012 12:00:00 AM,SMAGNESS,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1421890,424000,,"3882 PAXTON AV
Cincinnati, OH
(39.14802472456983, -84.42803092106612)"
SR12052046,INPROGRS,Recycling cart missing 96,We had a cart but it disappeared.  Our tenants have asked us to restore the recycling service.  Thank you.,11/27/2012 12:00:00 AM,12:51 PM,HAMILTON AV & GLEN PARKER AV,NORTHSIDE,79,STANDARD,INTERNET,19700360170,11/27/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1389115,432673,,"1675 GLEN PARKER AV
Cincinnati, OH
(39.169973517200845, -84.54407433837491)"
SR12052004,INPROGRS,Recycling new 96 gallon cart,requesting a recycling toter,11/27/2012 12:00:00 AM,9:58 AM,469 MISSOURI AV - GJ2173533164,COLUMBIA TUSCULUM,47.01,STANDARD,PHONE,2600010227,11/27/2012 12:00:00 AM,DSWEETEN,12/07/2012 12:00:00 AM,,,11/27/2012 12:00:00 AM,,1419510,413603,,"469 MISSOURI AV
Cincinnati, OH
(39.118434859556196, -84.43576537844463)"
SR12051970,INPROGRS,Recycling new 96 gallon cart,pick up on Purcell Av,11/26/2012 12:00:00 AM,4:40 PM,3642 WARSAW AV - GJ0990731872,EAST PRICE HILL,94,STANDARD,PHONE,17400080243,11/26/2012 12:00:00 AM,DSWEETEN,12/06/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1380551,411297,,"3642 WARSAW AV
Cincinnati, OH
(39.11060027682646, -84.57226808399349)"
SR12051914,INPROGRS,Recycling new 96 gallon cart,Gariston shows no carts here but she says they had one before which is now missing. Please deliver new 96 gal cart here- thanks.,11/26/2012 12:00:00 AM,1:38 PM,1729 MONTROSE ST - GJ1134633672,SOUTH FAIRMOUNT,87,STANDARD,PHONE,20300290122,11/26/2012 12:00:00 AM,RHENDERSON,12/06/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1385557,416960,,"1729 MONTROSE ST
Cincinnati, OH
(39.126761093693005, -84.55507304679327)"
SR12051847,INPROGRS,Recycling cart missing 64,My original cart was stolen.,11/26/2012 12:00:00 AM,10:01 AM,3651 ALASKA AV CINC - GJ1617236438,AVONDALE,69,STANDARD,INTERNET,11300030020,11/26/2012 12:00:00 AM,CSRWEB,12/06/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1401823,425234,,"3651 ALASKA AV
Cincinnati, OH
(39.15023339865775, -84.49825388098208)"
SR12051796,INPROGRS,Recycling new 35 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/25/2012 12:00:00 AM,8:36 PM,3239 BISHOP ST CINC - GJ1486335203,CORRYVILLE,30,STANDARD,INTERNET,10300020015,11/25/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1397332,421403,,"3239 BISHOP ST
Cincinnati, OH
(39.13914108185577, -84.51358559505844)"
SR12051794,INPROGRS,Recycling new 18 gallon cart,3 bins if possible. Need smaller bins to collect recycling before transferring to carts.,11/25/2012 12:00:00 AM,8:02 PM,321 JOSELIN AV CINC - GJ1422934448,HEIGHTS,29,STANDARD,INTERNET,10100060079,11/25/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1395131,419032,,"321 JOSELIN AV
Cincinnati, OH
(39.13300238857636, -84.52164524696417)"
SR12051782,INPROGRS,Recycling new 96 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/24/2012 12:00:00 AM,9:55 PM,18 E 13TH ST CINC - GJ1490531898,OVER-THE-RHINE,10,STANDARD,INTERNET,8000020176,11/24/2012 12:00:00 AM,CSRWEB,12/04/2012 12:00:00 AM,,,11/25/2012 12:00:00 AM,,1396964,410546,E ,"18 E 13TH ST
Cincinnati, OH
(39.10958404293336, -84.51432476564571)"
SR12051701,INPROGRS,Recycling new 35 gallon cart,would an additional cart- please deliver 35 gal cart- thanks!,11/21/2012 12:00:00 AM,5:55 PM,1411 LAKELAND AV - GJ1883341406,ROSELAWN,62.01,STANDARD,PHONE,01170A070312      ,11/21/2012 12:00:00 AM,RHENDERSON,12/01/2012 12:00:00 AM,,,11/23/2012 12:00:00 AM,,1411348,441076,,"1411 LAKELAND AV
Cincinnati, OH
(39.19456997470223, -84.46602217945201)"
SR12051700,INPROGRS,Recycling new 96 gallon cart,Needs additional 96 gal cart- thanks!,11/21/2012 12:00:00 AM,5:44 PM,539 FOREST AV - GJ1642035929,AVONDALE,68,STANDARD,PHONE,11300010011,11/21/2012 12:00:00 AM,RHENDERSON,12/01/2012 12:00:00 AM,,,11/23/2012 12:00:00 AM,,1402550,423526,,"539 FOREST AV
Cincinnati, OH
(39.14588967325619, -84.49567282675798)"
SR12051699,VOIDED  ,Recycling contaminated cart,Cart contaminated by contractor. Too heavy to move to curb. Allowed on property to get. Still wants to recycle and keep cart.,11/21/2012 12:00:00 AM,5:27 PM,2215 READING RD - GJ1600633264,MOUNT AUBURN,22,STANDARD,PHONE,9000010063,11/21/2012 12:00:00 AM,RHENDERSON,11/28/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,,1400757,414863,,"2215 READING RD
Cincinnati, OH
(39.12186878185361, -84.5010687589338)"
SR12051697,INPROGRS,Recycling cart missing 35,Would like one 35 gal cart. All 4 carts at this address are missing.This building is a 3 family; not a 4 family.Thanks!,11/21/2012 12:00:00 AM,4:56 PM,4329 EASTERN AV - GJ2260132123,LINWOOD,47.02,STANDARD,PHONE,2400020148,11/21/2012 12:00:00 AM,RHENDERSON,12/08/2012 12:00:00 AM,,,11/23/2012 12:00:00 AM,,1422177,410052,,"4329 EASTERN AV
Cincinnati, OH
(39.110108144336806, -84.42543777126292)"
SR12051634,INPROGRS,Recycling new 35 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/21/2012 12:00:00 AM,10:17 AM,964 LUDLOW AV CINC - GJ1298136629,CLIFTON,71,STANDARD,INTERNET,21500700021,11/21/2012 12:00:00 AM,CSRWEB,12/01/2012 12:00:00 AM,,,11/23/2012 12:00:00 AM,,1391400,426380,,"964 LUDLOW AV
Cincinnati, OH
(39.152580629154215, -84.53532393502985)"
SR12051602,INPROGRS,Recycling new 64 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/20/2012 12:00:00 AM,10:36 PM,1106 PRISCILLA LN CINC - GJ2186934509,MOUNT LOOKOUT,49,STANDARD,INTERNET,4400040130,11/20/2012 12:00:00 AM,CSRWEB,11/30/2012 12:00:00 AM,,,11/23/2012 12:00:00 AM,,1420173,417988,,"1106 PRISCILLA LN
Cincinnati, OH
(39.13213883080434, -84.43382329536817)"
SR12051596,INPROGRS,Recycling new 35 gallon cart,Would like (2) 35 gal carts delivered to address- thanks!,11/20/2012 12:00:00 AM,4:46 PM,2033 SUTTON AV - GJ2573530166,MOUNT WASHINGTON,46.01,STANDARD,PHONE,300020101,11/20/2012 12:00:00 AM,RHENDERSON,11/30/2012 12:00:00 AM,,,11/20/2012 12:00:00 AM,,1432126,403129,,"2033 SUTTON AV
Cincinnati, OH
(39.09143572438211, -84.38971470526587)"
SR12051518,INPROGRS,Recycling contaminated cart,Two recycling toters with trash,11/20/2012 12:00:00 AM,10:41 AM,5033 CLEVES WARSAW PIKE - GJ0695732641,WEST PRICE HILL,99.01,STANDARD,PHONE,01800A800340      ,11/20/2012 12:00:00 AM,DSWEETEN,11/27/2012 12:00:00 AM,,,11/20/2012 12:00:00 AM,,1371010,414295,,"5033 CLEVES WARSAW PIKE
Cincinnati, OH
(39.11860424288727, -84.60610957195604)"
SR12051500,INPROGRS,Recycling new 96 gallon cart,moving into house on nov. 23 2012,11/20/2012 12:00:00 AM,10:02 AM,1402 LAKELAND AV CINC - GJ1880141450,ROSELAWN,62.01,STANDARD,INTERNET,01170A070199      ,11/20/2012 12:00:00 AM,CSRWEB,11/30/2012 12:00:00 AM,,,11/20/2012 12:00:00 AM,,1411253,441227,,"1402 LAKELAND AV
Cincinnati, OH
(39.19462393402398, -84.46638190826371)"
SR12051494,INPROGRS,Recycling cart missing 96,Request entered through the Web. Refer to Intake Questions for further description.,11/20/2012 12:00:00 AM,9:54 AM,1238 MICHIGAN AV CINC - GJ2111034652,HYDE PARK,49,STANDARD,INTERNET,4600090020,11/20/2012 12:00:00 AM,CSRWEB,11/30/2012 12:00:00 AM,,,11/20/2012 12:00:00 AM,,1417708,418579,,"1238 MICHIGAN AV
Cincinnati, OH
(39.13301138179662, -84.4422620914379)"
SR12051488,INPROGRS,Recycling new 96 gallon cart,With the large amount of residents could we receive 2 containers?,11/20/2012 12:00:00 AM,9:46 AM,321 JOSELIN AV CINC - GJ1422934448,HEIGHTS,29,STANDARD,INTERNET,10100060079,11/20/2012 12:00:00 AM,CSRWEB,11/30/2012 12:00:00 AM,,,11/20/2012 12:00:00 AM,,1395131,419032,,"321 JOSELIN AV
Cincinnati, OH
(39.13300238857636, -84.52164524696417)"
SR12051442,INPROGRS,Recycling new 35 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,11/19/2012 12:00:00 AM,9:20 PM,132 W COURT ST CINC - GJ1469831473,OVER-THE-RHINE,7,STANDARD,INTERNET,7600010255,11/19/2012 12:00:00 AM,CSRWEB,11/29/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1396180,409211,W ,"132 W COURT ST
Cincinnati, OH
(39.10589682261326, -84.5169867588524)"
SR12051432,INPROGRS,Recycling new 96 gallon cart,Has been empty- now ready for occupancy- needs (2) 96 carts for 4 family.,11/19/2012 12:00:00 AM,5:54 PM,3568 LILAC AV - GJ1970035713,HYDE PARK,40,STANDARD,PHONE,4200050048,11/19/2012 12:00:00 AM,RHENDERSON,11/29/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1413257,422284,,"3568 LILAC AV
Cincinnati, OH
(39.14293989700013, -84.4580182133912)"
SR12051430,INPROGRS,Recycling cart missing 64,small bin is missing- please deliver 64 -thanks!,11/19/2012 12:00:00 AM,5:31 PM,6001 CONNECTICUT CT - GJ1074541794,COLLEGE HILL,82.02,STANDARD,PHONE,22800020118,11/19/2012 12:00:00 AM,RHENDERSON,12/06/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1384913,443663,,"6001 CONNECTICUT CT
Cincinnati, OH
(39.20011879162303, -84.55947972473683)"
SR12051399,INPROGRS,Recycling cart missing 96,no cart at current address. please deliver 1 96 gal cart,11/19/2012 12:00:00 AM,2:48 PM,2548 ST LEO PL - GJ1105434364,NORTH FAIRMOUNT,86.01,STANDARD,PHONE,20600050083,11/19/2012 12:00:00 AM,RHENDERSON,12/06/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1384715,419273,,"2548 ST LEO PL
Cincinnati, OH
(39.133047354677785, -84.5582746332176)"
SR12051395,INPROGRS,Recycling cart missing 96,please deliver 96 gal cart. other was stolen- thanks,11/19/2012 12:00:00 AM,2:40 PM,1794 DREMAN AV - GJ1185536677,SOUTH CUMMINSVILLE,77,STANDARD,PHONE,19400070060,11/19/2012 12:00:00 AM,RHENDERSON,12/06/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1387717,426720,,"1794 DREMAN AV
Cincinnati, OH
(39.153363039319686, -84.54822920615032)"
SR12051387,INPROGRS,Recycling cart missing 96,Wants 96 gal replacement carts,11/19/2012 12:00:00 AM,2:19 PM,4743 GREEN GLEN LN - GJ0781233235,WEST PRICE HILL,100.01,STANDARD,PHONE,18200050023,11/19/2012 12:00:00 AM,RHENDERSON,12/06/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1373909,416101,,"4743 GREEN GLEN LN
Cincinnati, OH
(39.12358648692958, -84.59595622624522)"
SR12051380,INPROGRS,Recycling cart missing 96,original cart was stolen,11/19/2012 12:00:00 AM,2:09 PM,3246 HARVEY AV - GJ1623435246,AVONDALE,67,STANDARD,PHONE,10600030133,11/19/2012 12:00:00 AM,RHENDERSON,12/06/2012 12:00:00 AM,,,11/19/2012 12:00:00 AM,,1401827,421319,,"3246 HARVEY AV
Cincinnati, OH
(39.13960341227141, -84.49833481996473)"
