COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
COLLEGE HILL,"1106 HOLLYWOOD AV
Cincinnati, OH
(39.20783497463441, -84.53196047064029)",SR12054047,CLOSED  ,Pothole repair,POTHOLES,12/14/2012 12:00:00 AM,1:11 PM,DALY RD & HOLLYWOOD AV - GJ1311242742,111,HAZARDOUS,PHONE,24700060112,12/14/2012 12:00:00 AM,CCOLEMAN,12/16/2012 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1392821,446383,
QUEENSGATE,"750 DALTON AV
Cincinnati, OH
(39.10350462601531, -84.5363941282447)",SR12054045,CLOSED  ,Pothole repair, ,12/14/2012 12:00:00 AM,1:07 PM,750 DALTON AV - GJ1305631150,1,STANDARD,PHONE,14000010125,12/14/2012 12:00:00 AM,LWHITAKER,12/16/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1390750,408417,
PLEASANT RIDGE,"2631 GROVER HILL AV
Cincinnati, OH
(39.17466797819384, -84.44073324398806)",SR12054033,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,12/14/2012 12:00:00 AM,11:56 AM,2631 GROVER HILL AV CINC - GJ2106839268,57.02,STANDARD,INTERNET,12000030029,12/14/2012 12:00:00 AM,CSRWEB,12/16/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1418323,433707,
COLLEGE HILL,"6348 MEIS AV
Cincinnati, OH
(39.207448266161805, -84.55289668748236)",SR12054022,NEW     ,Pothole repair,There are several potholes along that little street. There is one by a sewer lid further up the street towards Savannah. This one is right in front of my driveway. Very annoying.,12/14/2012 12:00:00 AM,10:55 AM,6348 MEIS AV CINC - GJ1130842653,82.01,STANDARD,INTERNET,24600020069,12/14/2012 12:00:00 AM,CSRWEB,12/16/2012 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1386902,446387,
BOND HILL,"5049 COAD DR
Cincinnati, OH
(39.18001894426817, -84.47969187429732)",SR12054007,CLOSED  ,Pothole repair,POTHOLE,12/14/2012 12:00:00 AM,10:10 AM,5049 COAD DR - GJ1767539774,64,STANDARD,PHONE,11700040126,12/14/2012 12:00:00 AM,CCOLEMAN,12/16/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1407288,435917,
EAST PRICE HILL,"465 CONSIDINE AV
Cincinnati, OH
(39.099808412474886, -84.5641382128486)",SR12053963,CLOSED  ,Pothole repair,you have to go into the other lane to miss it,12/13/2012 12:00:00 AM,6:20 PM,465 CONSIDINE AV CINC - GJ1062330682,96,STANDARD,INTERNET,17700350126,12/13/2012 12:00:00 AM,CSRWEB,12/15/2012 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1382702,407281,
CBD/RIVERFRONT,"1029 MAIN ST
Cincinnati, OH
(39.107416676842774, -84.51122210464462)",SR12053933,CLOSED  ,Pothole repair,POTHOLE AT E CENTRAL PKWY & MAIN ST,12/13/2012 12:00:00 AM,2:41 PM,E CENTRAL PKWY & MAIN ST - GJ1519031669,7,STANDARD,PHONE,7900010114,12/13/2012 12:00:00 AM,CCOLEMAN,12/15/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1397825,409769,
NORTHSIDE,"2683 PUTZ PL
Cincinnati, OH
(39.15864205963169, -84.56840099926751)",SR12053892,CLOSED  ,Pothole repair,Per 559 potholes,12/13/2012 12:00:00 AM,12:14 PM,WEST FORK RD & PUTZ PL - GJ1007537207,85.01,STANDARD,PHONE,22500030033,12/13/2012 12:00:00 AM,DSWEETEN,12/15/2012 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,TMACK,1381969,428748,
EVANSTON,"3515 WABASH AV
Cincinnati, OH
(39.142247419037574, -84.46415158963106)",SR12053828,CLOSED  ,Pothole repair,Large pothole in the street in front of driveway also another one @ Wabash & Duck Creek,12/13/2012 12:00:00 AM,8:50 AM,3515 WABASH AV - GJ1913735624,40,HAZARDOUS,PHONE,5700040028,12/13/2012 12:00:00 AM,KMALONE,12/15/2012 12:00:00 AM,,12/13/2012 12:00:00 AM,12/13/2012 12:00:00 AM,TMACK,1411401,422083,
NORTH AVONDALE,"4079 VICTORY PKWY
Cincinnati, OH
(39.155980066424945, -84.47184978620186)",SR12053804,CLOSED  ,Pothole repair,Potholes need to be repaired because the asphalt is falling out and into her driveway,12/12/2012 12:00:00 AM,4:23 PM,4079 VICTORY PKWY - GJ1842337135,65,STANDARD,PHONE,11600040049,12/12/2012 12:00:00 AM,DSWEETEN,12/14/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,TMACK,1409308,427149,
OAKLEY,"2744 ATLANTIC AV
Cincinnati, OH
(39.14954991391545, -84.44034653551546)",SR12053787,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,12/12/2012 12:00:00 AM,3:23 PM,2744 ATLANTIC AV CINC - GJ2118936511,52,STANDARD,INTERNET,4000030062,12/12/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1418269,424656,
NORTHSIDE,"4472 COLERAIN AV
Cincinnati, OH
(39.16677193077658, -84.55335534171729)",SR12053730,CLOSED  ,Pothole repair,Going up the hill after coming off of 74 it's the 5th manhole cover after you leave the construction zone,12/12/2012 12:00:00 AM,11:06 AM,COLERAIN AV & LEEPER ST,85.01,STANDARD,INTERNET,19500320021,12/12/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1386316,431609,
EAST PRICE HILL,"3002 PRICE AV
Cincinnati, OH
(39.10691305650636, -84.56118843659249)",SR12053662,CLOSED  ,Pothole repair,Citizen says there is 3 large potholes on Grand between Price and Glenway. 1 at Price and Grand in the curb lane the other 2 in the middle betwen the blocks.,12/12/2012 12:00:00 AM,12:07 AM,GRAND AV & PRICE AV - GJ1089031467,93,STANDARD,PHONE,17500160130,12/12/2012 12:00:00 AM,DCOTTRELL,12/14/2012 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1383704,409807,
MOUNT WASHINGTON,"6815 WHITEHALL AV
Cincinnati, OH
(39.0747443075183, -84.37131457654641)",SR12053655,NEW     ,Pothole repair,Whitehall addresses 6815-6807 several potholes middle of the road.Whitehall near Bursal several potholes middle of road.Whitehall near Birney Lane several potholes closer to right side of road.,12/11/2012 12:00:00 AM,9:25 PM,6815 WHITEHALL AV CINC - GJ2739828342,46.03,STANDARD,INTERNET,200080020,12/11/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1437278,396886,
MOUNT WASHINGTON,"1532 BURNEY LN
Cincinnati, OH
(39.08076976511461, -84.3747769663592)",SR12053613,NEW     ,Pothole repair,TWO POTHOLES IN FRONT OF 1532 BURNEY LN,12/11/2012 12:00:00 AM,1:44 PM,1532 BURNEY LN - GJ2709929025,46.03,STANDARD,PHONE,200060002,12/11/2012 12:00:00 AM,CCOLEMAN,12/13/2012 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1436409,399169,
WEST END,"1825 BAYMILLER ST
Cincinnati, OH
(39.11682358526923, -84.52925351133206)",SR12053608,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON CHARLOTTE ST BETWEEN BAYMILLER ST & LINN ST,12/11/2012 12:00:00 AM,1:05 PM,CHARLOTTE ST & BAYMILLER ST - GJ1361032641,15,HAZARDOUS,PHONE,18400030126,12/11/2012 12:00:00 AM,CCOLEMAN,12/13/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1392807,413211,
CUF,"349 WARNER ST
Cincinnati, OH
(39.12502540217645, -84.52564722999455)",SR12053333,CLOSED  ,Pothole repair,it is at the outside corner of that address just as you would turn or cross the street,12/09/2012 12:00:00 AM,4:00 PM,349 WARNER ST CINC - GJ1389333555,26,STANDARD,INTERNET,9600020209,12/09/2012 12:00:00 AM,CSRWEB,12/11/2012 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1393887,416164,
COLUMBIA TUSCULUM,"4101 AIRPORT RD
Cincinnati, OH
(39.10832499209238, -84.43197384742268)",SR12053312,CLOSED  ,Pothole repair,Small pot hole on west side near crosswalk,12/08/2012 12:00:00 AM,12:34 PM,AIRPORT RD & EASTERN AV,44,STANDARD,INTERNET,2400010060,12/08/2012 12:00:00 AM,CSRWEB,12/10/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1420323,409599,
CALIFORNIA,"5650 KELLOGG AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12053311,CLOSED  ,Pothole repair,Outbound Kellogg 100' 150' before Apple Hill just before the second gated Water works driveway,12/08/2012 12:00:00 AM,12:31 PM,KELLOGG AV & APPLE HILL RD,45,STANDARD,INTERNET,700030007,12/08/2012 12:00:00 AM,CSRWEB,12/10/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1423251,396393,
MOUNT AIRY,"2775 WESTONRIDGE DR
Cincinnati, OH
(39.1855048086469, -84.57850937887684)",SR12053289,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON THE STREET,12/07/2012 12:00:00 AM,2:41 PM,2775 WESTONRIDGE DR - GJ0913740130,208.11,STANDARD,PHONE,23100070126,12/07/2012 12:00:00 AM,CCOLEMAN,12/09/2012 12:00:00 AM,,12/13/2012 12:00:00 AM,12/13/2012 12:00:00 AM,,1379375,438476,
LINWOOD,"3643 LINWOOD AV
Cincinnati, OH
(39.12190475473477, -84.41684725088987)",SR12053200,CLOSED  ,Pothole repair,Original CSR#SR12049485 was closed and pothole never repaired. This is large enough it is becoming hazardous,12/07/2012 12:00:00 AM,8:40 AM,COLUMBIA EB PKWY BRIDGE & LINWOOD AV,47.02,STANDARD,INTERNET,1900010023,12/07/2012 12:00:00 AM,CSRWEB,12/09/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1424637,414501,
AVONDALE,"554 HALE AV
Cincinnati, OH
(39.14033186311514, -84.49550195557242)",SR12053198,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,12/07/2012 12:00:00 AM,7:57 AM,554 HALE AV CINC - GJ1645335355,67,STANDARD,INTERNET,10600030046,12/07/2012 12:00:00 AM,CSRWEB,12/09/2012 12:00:00 AM,,12/12/2012 12:00:00 AM,12/12/2012 12:00:00 AM,,1402566,421640,
BOND HILL,"4 NORWOOD LATERAL EB
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12053197,CLOSED  ,Pothole repair,ON PADDOCK RD. AT NORWOOD LATERAL RAMP.,12/07/2012 12:00:00 AM,7:42 AM,PADDOCK RD & NORWOOD LATERAL EB,64,STANDARD,INTERNET,13100040007,12/07/2012 12:00:00 AM,CSRWEB,12/09/2012 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1407772,433559,
NORTHSIDE,"4259 SPRING GROVE AV
Cincinnati, OH
(39.15984715115093, -84.5310341689501)",SR12053157,INPROGRS,Pothole repair,two potholes in front of 4259 Spring Grove,12/06/2012 12:00:00 AM,2:57 PM,4259 SPRING GROVE AV - GJ1332037439,74,STANDARD,PHONE,22100150034,12/06/2012 12:00:00 AM,CCOLEMAN,12/08/2012 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1392640,428978,
BOND HILL,"1020 TOWNE ST
Cincinnati, OH
(39.18360723916504, -84.48227292852141)",SR12053135,CLOSED  ,Pothole repair,STREET IS POTHOLED RUTTED AND JUST BAD TO DRIVE ON FROM IN FRONT OF 1020 TOWNE ST. UP TO AND JUST ONTO THE RAMP FROM TOWNE ST. TO NORTH I75.,12/06/2012 12:00:00 AM,1:11 PM,1020 TOWNE ST CINC - GJ1746340202,64,STANDARD,INTERNET,11600010246,12/06/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1406667,437356,
WESTWOOD,"3481 EPWORTH AV
Cincinnati, OH
(39.15160036814228, -84.59960747368422)",SR12053102,CLOSED  ,Pothole repair,There are multiple pot holes on Epworth Ave between Montclair Ave and Feltz Ave.,12/06/2012 12:00:00 AM,11:13 AM,EPWORTH AV & MONTCLAIR AV,101,STANDARD,INTERNET,21000740103,12/06/2012 12:00:00 AM,CSRWEB,12/08/2012 12:00:00 AM,,12/12/2012 12:00:00 AM,12/12/2012 12:00:00 AM,,1373156,426423,
NORTH FAIRMOUNT,"1747 DENHAM ST
Cincinnati, OH
(39.13557444958013, -84.55245601968801)",SR12052929,CLOSED  ,Pothole repair,concerns are that the potholes will collapse with a car. this happened before on this street,12/05/2012 12:00:00 AM,9:31 AM,1747 DENHAM ST CINC - GJ1154434664,86.01,STANDARD,INTERNET,20200400112,12/05/2012 12:00:00 AM,CSRWEB,12/07/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1386371,420176,
WESTWOOD,"3017 SANDRA PL
Cincinnati, OH
(39.13798463261867, -84.60217054146773)",SR12052924,CLOSED  ,Pothole repair,There are several potholes on the street it's a dead end street,12/05/2012 12:00:00 AM,9:23 AM,3017 SANDRA PL - GJ0724734809,102.02,STANDARD,PHONE,20800590188,12/05/2012 12:00:00 AM,DSWEETEN,12/07/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1372313,421351,
EAST WESTWOOD,"3599 MCHENRY AV
Cincinnati, OH
(39.14990064950689, -84.56349070098753)",SR12052861,CLOSED  ,Pothole repair,large hazardous potholes - sunken area- heaved area  very hazardous - needs general repair,12/04/2012 12:00:00 AM,2:24 PM,3599 MCHENRY AV - GJ1055036258 3599 Mchenry ave,100.02,HAZARDOUS,PHONE,22400030002,12/04/2012 12:00:00 AM,VBANKS,12/06/2012 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,TMACK,1383372,425559,
AVONDALE,"252 ERKENBRECHER AV
Cincinnati, OH
(39.14209453429254, -84.50338900976942)",SR12052831,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,1:08 PM,252 ERKENBRECHER AV CINC - GJ1576235539,69,STANDARD,INTERNET,11300050076,12/04/2012 12:00:00 AM,CSRWEB,12/06/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1400333,422358,
NORTHSIDE,"4760 HAMILTON AV
Cincinnati, OH
(39.178642981563314, -84.54490171464187)",SR12052826,INPROGRS,Pothole repair,There are three dangerous spots toward the top of the hill -- on the right side of ashtree as you are going up hill and are near to the top of the hill.  Down from the light about 40 feet maybe.  Obvious.Please look on ashtree on RIGHT side at top of hill,12/04/2012 12:00:00 AM,12:39 PM,ASHTREE DR & HAMILTON AV,84,STANDARD,INTERNET,02000A480036      ,12/04/2012 12:00:00 AM,CSRWEB,12/06/2012 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1388838,435880,
BOND HILL,"5002 GRAFTON AV
Cincinnati, OH
(39.176997222249724, -84.46172342015194)",SR12052824,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON GRAFTON ,12/04/2012 12:00:00 AM,12:36 PM,GRAFTON AV & DALE RD - GJ1925439474,63,HAZARDOUS,PHONE,01190A020076      ,12/04/2012 12:00:00 AM,CCOLEMAN,12/06/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1412412,434675,
MOUNT AIRY,"5005 HAWAIIAN TER
Cincinnati, OH
(39.18382659432662, -84.56447911424084)",SR12052819,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON HAWAIIAN TER ,12/04/2012 12:00:00 AM,12:26 PM,5005 HAWAIIAN TER - GJ1056440015,85.01,STANDARD,PHONE,22700010113,12/04/2012 12:00:00 AM,CCOLEMAN,12/06/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1384030,437866,
CARTHAGE,"7022 VAN KIRK AV
Cincinnati, OH
(39.195100574699495, -84.48274057597666)",SR12052796,CLOSED  ,Pothole repair,SEVERAL POTHOLE ALL OVER THE WILLOW ALLEY,12/04/2012 12:00:00 AM,11:39 AM,7022 VAN KIRK AV - GJ1740841433,61,STANDARD,PHONE,24000040035,12/04/2012 12:00:00 AM,CCOLEMAN,12/06/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1406681,441396,
NORTHSIDE,"4326 KIRBY AV
Cincinnati, OH
(39.16879540534251, -84.54685324344547)",SR12052710,CLOSED  ,Pothole repair,honestly if i was outside the car and inspecting the size could be different the other two they fixed were about 3 x 4 foot  each but why not fix the 3rd one near it?,12/03/2012 12:00:00 AM,8:33 PM,4326 KIRBY AV CINC - GJ1197138372,79,STANDARD,INTERNET,19700360065,12/03/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1388376,432255,
WESTWOOD,"3534 EPWORTH AV
Cincinnati, OH
(39.152850425763006, -84.59942760927834)",SR12052706,CLOSED  ,Pothole repair,Riding down the street there are so many you can barely avoid them,12/03/2012 12:00:00 AM,7:31 PM,3534 EPWORTH AV CINC - GJ0745836479,101,STANDARD,INTERNET,21000770146,12/03/2012 12:00:00 AM,CSRWEB,12/05/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1373279,426791,
GREEN TOWNSHIP,"5113 RALPH AV
Cincinnati, OH
(39.12047483270817, -84.60759345330439)",SR12052655,CLOSED  ,Pothole repair,POTHOLE ON RALPH AVE JUST BEFORE 5113 RALPH AVE,12/03/2012 12:00:00 AM,1:19 PM,5113 RALPH AV - GJ0682732852 Close to 5113 RALPH AV,212.02,STANDARD,PHONE,55000410225,12/03/2012 12:00:00 AM,CCOLEMAN,12/05/2012 12:00:00 AM,,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,,1370619,415009,
EAST WALNUT HILLS,"1946 WILLIAM H TAFT RD
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12052608,CLOSED  ,Pothole repair,12/10/2012 11:05 AM/VGAYRoad does not need resurfacing . Please patch pot holes opposite 1944 William Taft Road PLEASE RESURFACED WILLIAM H TAFT RD BETWEEN McMILLAN AND COLUMBIA PKWY - VERY UNEVEN,12/03/2012 12:00:00 AM,10:54 AM,WILLIAM H TAFT RD & COLUMBIA PKWY - GJ1923333742,42,STANDARD,PHONE,5600060086,12/03/2012 12:00:00 AM,CCOLEMAN,12/12/2012 12:00:00 AM,,12/14/2012 12:00:00 AM,12/14/2012 12:00:00 AM,,1411407,415903,
NORTHSIDE,"1645 POWERS ST
Cincinnati, OH
(39.15700529353836, -84.54283327397451)",SR12052507,CLOSED  ,Pothole repair,between powers and cooper streets,12/01/2012 12:00:00 AM,4:17 AM,CHERRY ST & POWERS ST,78,STANDARD,INTERNET,19400110177,12/01/2012 12:00:00 AM,CSRWEB,12/03/2012 12:00:00 AM,,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,,1389245,427966,
WESTWOOD,"3000 WERK RD
Cincinnati, OH
(39.14033186311514, -84.59983230419152)",SR12052495,CLOSED  ,Pothole repair,Several potholes on Ferguson Rd. between Werk Rd and Queen City Av.,11/30/2012 12:00:00 AM,3:43 PM,FERGUSON RD & WERK RD - GJ0745335088,102.02,STANDARD,PHONE,20800570071,11/30/2012 12:00:00 AM,DSWEETEN,12/02/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1373035,422232,
QUEENSGATE,"1257 W 7TH ST
Cincinnati, OH
(39.103394281180115, -84.53741276184974)",SR12052483,CLOSED  ,Pothole repair,Truck got an flat tire where there is ahole and wires are sticking up. please fill pothole,11/30/2012 12:00:00 AM,2:25 PM,1257 W 7TH ST - GJ1290031099 1257 W.7th st,1,HAZARDOUS,PHONE,14000020270,11/30/2012 12:00:00 AM,VBANKS,12/02/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,MPOTTER,1390230,408277,
AVONDALE,"123 FOREST AV
Cincinnati, OH
(39.14674402918405, -84.50738199957948)",SR12052444,CLOSED  ,Pothole repair,1 large potholes,11/30/2012 12:00:00 AM,11:17 AM,123 FOREST AV - GJ1541136036,69,STANDARD,PHONE,21600470161,11/30/2012 12:00:00 AM,DSWEETEN,12/02/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,TMACK,1399260,424039,
EAST PRICE HILL,"1221 FAIRBANKS AV
Cincinnati, OH
(39.11438642256985, -84.56786140604993)",SR12052426,CLOSED  ,Pothole repair,pothole,11/30/2012 12:00:00 AM,10:04 AM,1221 FAIRBANKS AV - GJ1026332287,92,STANDARD,PHONE,17300030126,11/30/2012 12:00:00 AM,DSWEETEN,12/02/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1381784,412597,
WESTWOOD,"3268 MONTANA AV
Cincinnati, OH
(39.14919917832401, -84.60987773125879)",SR12052419,CLOSED  ,Pothole repair,pothole in front of this address,11/30/2012 12:00:00 AM,9:35 AM,3268 MONTANA AV - GJ0654236071,102.01,STANDARD,PHONE,21200660012,11/30/2012 12:00:00 AM,DSWEETEN,12/02/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1370212,425602,
MADISONVILLE,"5050 KINGSLEY DR
Cincinnati, OH
(39.168753835708586, -84.40529477865036)",SR12052398,CLOSED  ,Pothole repair,Lots of patches that have settledmaking it very rough and uneven.,11/29/2012 12:00:00 AM,9:21 PM,KINGSLEY DR & EASTWOOD DR,108,STANDARD,INTERNET,5100110072,11/29/2012 12:00:00 AM,CSRWEB,12/01/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,,1427839,431337,
