COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
EAST PRICE HILL,"3219 W 8TH ST
Cincinnati, OH
(39.10587883617268, -84.56445297555888)",Graffiti removal,SR12054274,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,6:00 PM,W 8TH ST & PURCELL AV,96,STANDARD,INTERNET,17800250035,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1382677,409485,W 
CORRYVILLE,"30 E CORRY ST
Cincinnati, OH
(39.12906335808799, -84.50838924025231)",Graffiti removal,SR12054224,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,1:14 PM,EUCLID AV & E CORRY ST,33,STANDARD,INTERNET,9200020012,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1398928,417518,E 
WALNUT HILLS,"705 E MCMILLAN ST
Cincinnati, OH
(39.12620351403484, -84.49480947760986)",Graffiti removal,SR12054178,NEW     ,Accessible from of 703 Mcmillan,12/17/2012 12:00:00 AM,11:01 AM,705 E MCMILLAN ST CINC - GJ1655633755,21,STANDARD,INTERNET,6800020357,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1402640,416385,E 
CUF,"109 W MCMILLAN ST
Cincinnati, OH
(39.12761544962086, -84.51620434868693)",Graffiti removal,SR12054172,NEW     ,Graffiti tagging is on the west side of the building corner 3' up and on the air conditoner unit on the east side of the building.,12/17/2012 12:00:00 AM,10:57 AM,109 W MCMILLAN ST - GJ1470533854,25,STANDARD,PHONE,10000030010,12/17/2012 12:00:00 AM,KMALONE,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1396593,417008,W 
AVONDALE,"3136 VAN BUREN AV
Cincinnati, OH
(39.13557380419745, -84.49360181875205)",Graffiti removal,SR12054170,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,10:57 AM,3136 VAN BUREN AV CINC - GJ1664834837,34,STANDARD,INTERNET,10500010136,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1403120,419914,
OAKLEY,"3096 MADISON RD
Cincinnati, OH
(39.15325512067619, -84.42997735251765)",Graffiti removal,SR12054169,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,10:55 AM,3096 MADISON RD CINC - GJ2206436947,53,STANDARD,INTERNET,5000010010,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1421206,425943,
EVANSTON,"3560 EVANSTON AV
Cincinnati, OH
(39.1442169342817, -84.46273066082472)",Graffiti removal,SR12054168,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,10:53 AM,3560 EVANSTON AV CINC - GJ1934735840,40,STANDARD,INTERNET,5700060022,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1412130,422759,
MOUNT AUBURN,"121 MULBERRY ST
Cincinnati, OH
(39.11662573442277, -84.51386611141072)",Graffiti removal,SR12054165,NEW     ,Citizen is requesting the graffiti tagging on the sidewalk between 119 & 121 Mulberry St be removed,12/17/2012 12:00:00 AM,10:45 AM,121 MULBERRY ST - GJ1492732650,17,STANDARD,PHONE,9400050199,12/17/2012 12:00:00 AM,KMALONE,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1397124,413026,
MOUNT AUBURN,"1705 SYCAMORE ST
Cincinnati, OH
(39.11402669375809, -84.51078143685027)",Graffiti removal,SR12054162,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,10:31 AM,1705 SYCAMORE ST CINC - GJ1519632380,17,STANDARD,INTERNET,8600020054,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1397963,412101,
EVANSTON,"1538 BREWSTER AV
Cincinnati, OH
(39.14431585970493, -84.47626545736568)",Graffiti removal,SR12054159,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,10:22 AM,1538 BREWSTER AV CINC - GJ1810235851,38,STANDARD,INTERNET,5900020092,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1408050,422997,
EVANSTON,"1534 BREWSTER AV
Cincinnati, OH
(39.144328922749786, -84.4760419900481)",Graffiti removal,SR12054158,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,10:17 AM,1534 BREWSTER AV CINC - GJ1806935847,38,STANDARD,INTERNET,5900020094,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1407940,422990,
WALNUT HILLS,"2346 GILBERT AV
Cincinnati, OH
(39.12424299201098, -84.49120319627241)",Graffiti removal,SR12054136,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,9:01 AM,2346 GILBERT AV CINC - GJ1691533552,19,STANDARD,INTERNET,6700010156,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1403785,415660,
BOND HILL,"1111 META DR
Cincinnati, OH
(39.175010636150596, -84.48227120439539)",Graffiti removal,SR12054126,NEW     ,Appreciate if removal could take place ASAP.  The grafitti appears this time of year on an annual basis and is usually not removed until spring or summer so the grafitti is visible for months.,12/17/2012 12:00:00 AM,8:20 AM,1111 META DR CINC - GJ1760539152,64,STANDARD,INTERNET,11800020086,12/17/2012 12:00:00 AM,CSRWEB,01/16/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1406960,433891,
OVER-THE-RHINE,"1327 MAIN ST
Cincinnati, OH
(39.11066322936853, -84.51204948091157)",Graffiti removal,SR12054081,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/14/2012 12:00:00 AM,4:31 PM,1327 MAIN ST CINC - GJ1509932000,10,STANDARD,INTERNET,8000020302,12/14/2012 12:00:00 AM,CSRWEB,01/13/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1397582,410872,
CUF,"349 CALHOUN ST
Cincinnati, OH
(39.12855074453131, -84.52048512154641)",Graffiti removal,SR12054046,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/14/2012 12:00:00 AM,1:07 PM,349 CALHOUN ST CINC - GJ1432733950,26,STANDARD,INTERNET,10200060091,12/14/2012 12:00:00 AM,CSRWEB,01/13/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1395370,417385,
AVONDALE,"3665 VINE ST
Cincinnati, OH
(39.15049420204622, -84.51057459278348)",Graffiti removal,SR12054027,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/14/2012 12:00:00 AM,11:01 AM,3665 VINE ST CINC - GJ1511536436,70,STANDARD,INTERNET,21700530136,12/14/2012 12:00:00 AM,CSRWEB,01/13/2013 12:00:00 AM,,,12/14/2012 12:00:00 AM,,1398360,425400,
WALNUT HILLS,"860 BEECHER ST
Cincinnati, OH
(39.13353298857362, -84.48903583018176)",Graffiti removal,SR12053962,NEW     ,Access from MLK,12/13/2012 12:00:00 AM,5:43 PM,860 BEECHER ST CINC - GJ1703834633,36,STANDARD,INTERNET,6500010127,12/13/2012 12:00:00 AM,CSRWEB,01/12/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1404363,419181,
WALNUT HILLS,"1244 LOUDEN ST
Cincinnati, OH
(39.11018502938047, -84.49718554891108)",Graffiti removal,SR12053939,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/13/2012 12:00:00 AM,3:01 PM,PARKSIDE PL & LOUDEN ST,13,STANDARD,INTERNET,7200010273,12/13/2012 12:00:00 AM,CSRWEB,01/12/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1401852,410763,
CBD/RIVERFRONT,"705 MAIN ST
Cincinnati, OH
(39.10436797516343, -84.51050264702116)",Graffiti removal,SR12053923,NEW     ,Accessible from roof of 707 Main,12/13/2012 12:00:00 AM,1:27 PM,705 MAIN ST CINC - GJ1525731307,7,STANDARD,INTERNET,7900010022,12/13/2012 12:00:00 AM,CSRWEB,01/12/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1397987,408574,
CBD/RIVERFRONT,"721 MAIN ST
Cincinnati, OH
(39.104573355312105, -84.51058909847427)",Graffiti removal,SR12053922,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/13/2012 12:00:00 AM,1:25 PM,721 MAIN ST CINC - GJ1525031340,7,STANDARD,INTERNET,7900010029,12/13/2012 12:00:00 AM,CSRWEB,01/12/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1397970,408685,
BOND HILL,"1701 SHOWCASE DR
Cincinnati, OH
(39.16976667313412, -84.46377387437872)",Graffiti removal,SR12053901,NEW     ,There is graffiti on the fence along the property & on a trailer parked on the property,12/13/2012 12:00:00 AM,12:31 PM,1701 SHOWCASE DR CINC - GJ1898238601,63,STANDARD,INTERNET,11900010004,12/13/2012 12:00:00 AM,CSRWEB,01/12/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1411382,431862,
MOUNT AUBURN,"159 E MCMILLAN ST
Cincinnati, OH
(39.12691397843798, -84.50575422670647)",Graffiti removal,SR12053872,NEW     ,Graffiti on building across from 159 E. McMillian St.Mr. Long left message on Audix - not specific about location/where on building graffiti is / amount. He hsan't returned calls.,12/13/2012 12:00:00 AM,11:20 AM,159 E MCMILLAN ST - GJ1560533827,33,STANDARD,PHONE,8900040072,12/13/2012 12:00:00 AM,SCOLEMAN,01/12/2013 12:00:00 AM,,,12/13/2012 12:00:00 AM,,1399537,416771,E 
CUF,"35 W HOLLISTER ST
Cincinnati, OH
(39.12721974792794, -84.51375819276723)",Graffiti removal,SR12053818,NEW     ,Please paint using any neutral color (light gray light brown) if cannot be removed otherwise (e.g. powerwashing).,12/12/2012 12:00:00 AM,11:16 PM,35 W HOLLISTER ST CINC - GJ1490933832,25,STANDARD,INTERNET,10000040039,12/12/2012 12:00:00 AM,CSRWEB,01/11/2013 12:00:00 AM,,,12/12/2012 12:00:00 AM,,1397260,416904,W 
MOUNT WASHINGTON,"1905 HONEYSUCKLE LN
Cincinnati, OH
(39.088090246433126, -84.38139597649484)",Graffiti removal,SR12053707,NEW     ,Graffiti is located on the grey box for the traffic signals/crosswalk button at Honeysuckle and Beechmont northwest corner of street- and visible to people walking from Honeysuckle to Beechmont.,12/12/2012 12:00:00 AM,10:01 AM,1905 HONEYSUCKLE LN CINC - GJ2647129829,46.02,STANDARD,INTERNET,200010056,12/12/2012 12:00:00 AM,CSRWEB,01/11/2013 12:00:00 AM,,,12/12/2012 12:00:00 AM,,1434482,401908,
WALNUT HILLS,"202 I-71 NB EXWY
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12053658,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/11/2012 12:00:00 AM,9:43 PM,ELSINORE AV & VAN METER ST,19,STANDARD,INTERNET,49900010001,12/11/2012 12:00:00 AM,CSRWEB,01/10/2013 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1401101,411313,
MOUNT ADAMS,"391 BAUM ST
Cincinnati, OH
(39.105555080242084, -84.50134754876291)",Graffiti removal,SR12053657,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/11/2012 12:00:00 AM,9:42 PM,KILGOUR ST & MONASTERY ST,12,STANDARD,INTERNET,7900060100,12/11/2012 12:00:00 AM,CSRWEB,01/10/2013 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1400629,408722,
OVER-THE-RHINE,"10 W 9TH ST
Cincinnati, OH
(39.105321256514515, -84.51465751479651)",Graffiti removal,SR12053642,NEW     ,Large black graffiti (Baird).,12/11/2012 12:00:00 AM,4:39 PM,10 W 9TH ST CINC - GJ1490231413,7,STANDARD,INTERNET,7600020175,12/11/2012 12:00:00 AM,CSRWEB,01/10/2013 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1396840,408980,W 
MOUNT AUBURN,"1832 SYCAMORE ST
Cincinnati, OH
(39.11775888017968, -84.50968426397452)",Graffiti removal,SR12053596,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/11/2012 12:00:00 AM,11:58 AM,1832 SYCAMORE ST CINC - GJ1529932779,18,STANDARD,INTERNET,8700040073,12/11/2012 12:00:00 AM,CSRWEB,01/10/2013 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1398365,413390,
OVER-THE-RHINE,"1319 MAIN ST
Cincinnati, OH
(39.1104294056409, -84.51199552158982)",Graffiti removal,SR12053595,NEW     ,Call 5133690202 if cannot be reached from exterior.,12/11/2012 12:00:00 AM,11:57 AM,1319 MAIN ST CINC - GJ1509931974,10,STANDARD,INTERNET,8000020299,12/11/2012 12:00:00 AM,CSRWEB,01/10/2013 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1397577,410786,
WEST END,"2151 FREEMAN AV
Cincinnati, OH
(39.12100543270549, -84.53098920284862)",Graffiti removal,SR12053568,INPROGRS,Graffiti in 3 different spots at this location,12/11/2012 12:00:00 AM,10:04 AM,2151 FREEMAN AV - GJ1342633112,14,STANDARD,NOD GRAFFITI,13200010140,12/11/2012 12:00:00 AM,ACURRY,01/10/2013 12:00:00 AM,,,12/11/2012 12:00:00 AM,,1392282,414783,
EAST WALNUT HILLS,"2791 BAKER PL
Cincinnati, OH
(39.13037534693688, -84.46700014320403)",Graffiti removal,SR12053476,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/10/2012 12:00:00 AM,2:15 PM,MADISON RD & ANNWOOD ST,42,STANDARD,INTERNET,5600020023,12/10/2012 12:00:00 AM,CSRWEB,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1410397,417775,
NORTHSIDE,"3923 COLERAIN AV
Cincinnati, OH
(39.1578243549347, -84.5441989876407)",Graffiti removal,SR12053470,NEW     ,Graffiti on rear of building,12/10/2012 12:00:00 AM,1:36 PM,3923 COLERAIN AV - GJ1224037132,78,STANDARD,PHONE,19400110183,12/10/2012 12:00:00 AM,LSHACKELFORD,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1389052,428148,
NORTHSIDE,"1659 COOPER ST
Cincinnati, OH
(39.15786864268648, -84.5435976976994)",Graffiti removal,SR12053469,NEW     ,Graffiti on back of building,12/10/2012 12:00:00 AM,1:33 PM,1659 COOPER ST - GJ1229637157,78,STANDARD,PHONE,19400110189,12/10/2012 12:00:00 AM,LSHACKELFORD,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1389238,428222,
NORTHSIDE,"4159 DANE AV
Cincinnati, OH
(39.162005524021254, -84.53255402317961)",Graffiti removal,SR12053467,NEW     ,Graffiti on side of building,12/10/2012 12:00:00 AM,1:27 PM,4159 DANE AV - GJ1315437661,74,STANDARD,PHONE,22100190179,12/10/2012 12:00:00 AM,LSHACKELFORD,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1392132,429732,
OVER-THE-RHINE,"200 E CLIFTON AV
Cincinnati, OH
(39.11522279205707, -84.51362329446283)",Graffiti removal,SR12053395,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/10/2012 12:00:00 AM,9:53 AM,200 E CLIFTON AV CINC - GJ1497332519,17,STANDARD,INTERNET,9400070297,12/10/2012 12:00:00 AM,CSRWEB,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1397254,412593,E 
OVER-THE-RHINE,"151 E CLIFTON AV
Cincinnati, OH
(39.115942182382334, -84.5146050626196)",Graffiti removal,SR12053393,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/10/2012 12:00:00 AM,9:52 AM,151 E CLIFTON AV CINC - GJ1493332520,17,STANDARD,INTERNET,9400050279,12/10/2012 12:00:00 AM,CSRWEB,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1397124,412601,E 
OVER-THE-RHINE,"212 W 14TH ST
Cincinnati, OH
(39.110024710727714, -84.51923506392569)",Graffiti removal,SR12053391,NEW     ,our big garage doors have been tagged . next to the alley,12/10/2012 12:00:00 AM,9:50 AM,212 W 14TH ST CINC - GJ1448931933,9,STANDARD,INTERNET,8100020254,12/10/2012 12:00:00 AM,CSRWEB,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1395573,410751,W 
MOUNT AUBURN,"2439 HIGHLAND AV
Cincinnati, OH
(39.12583479200282, -84.50355088773466)",Graffiti removal,SR12053364,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/10/2012 12:00:00 AM,8:37 AM,2439 HIGHLAND AV CINC - GJ1578133708,22,STANDARD,INTERNET,8900030046,12/10/2012 12:00:00 AM,CSRWEB,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1400094,416355,
WALNUT HILLS,"2501 READING RD
Cincinnati, OH
(39.12691397843798, -84.50164432503254)",Graffiti removal,SR12053363,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/10/2012 12:00:00 AM,8:34 AM,BURNET AV & READING RD,34,STANDARD,INTERNET,9100030001,12/10/2012 12:00:00 AM,CSRWEB,01/09/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1400685,416676,
WALNUT HILLS,"731 E MCMILLAN ST
Cincinnati, OH
(39.12611358183193, -84.4935324403283)",Graffiti removal,SR12053350,CLOSED  ,Graffiti on side of building above 10 feet,12/10/2012 12:00:00 AM,6:25 AM,731 E MCMILLAN ST - GJ1666533741,21,STANDARD,PHONE,6800030088,12/10/2012 12:00:00 AM,LSHACKELFORD,01/09/2013 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1402996,416318,E 
NORTH AVONDALE,"4222 KESSLER AV
Cincinnati, OH
(39.1622213613083, -84.5062128809414)",Graffiti removal,SR12053337,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/09/2012 12:00:00 AM,4:59 PM,4222 KESSLER AV CINC - GJ1546637729,70,STANDARD,INTERNET,21800570068,12/09/2012 12:00:00 AM,CSRWEB,01/08/2013 12:00:00 AM,,,12/09/2012 12:00:00 AM,,1399722,429579,
NORTH AVONDALE,"4301 KESSLER AV
Cincinnati, OH
(39.16242820537502, -84.5059610707732)",Graffiti removal,SR12053336,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/09/2012 12:00:00 AM,4:56 PM,4301 KESSLER AV CINC - GJ1546637787,70,STANDARD,INTERNET,21800570020,12/09/2012 12:00:00 AM,CSRWEB,01/08/2013 12:00:00 AM,,,12/09/2012 12:00:00 AM,,1399730,429770,
CBD/RIVERFRONT,"611 RACE ST
Cincinnati, OH
(39.102575330072234, -84.51512204501975)",Graffiti removal,SR12053320,NEW     ,Large black graffiti (ZOOSK).,12/09/2012 12:00:00 AM,10:53 AM,611 RACE ST CINC - GJ1486831102,7,STANDARD,INTERNET,14500020288,12/09/2012 12:00:00 AM,CSRWEB,01/08/2013 12:00:00 AM,,,12/09/2012 12:00:00 AM,,1396680,407966,
AVONDALE,"861 DELLWAY ST
Cincinnati, OH
(39.13921670379881, -84.48736309120727)",Graffiti removal,SR12053306,NEW     ,Accessible from the end of Blair CT or from I-71,12/07/2012 12:00:00 AM,5:00 PM,861 DELLWAY ST CINC - GJ1718535204,67,STANDARD,INTERNET,6000030083,12/07/2012 12:00:00 AM,CSRWEB,01/06/2013 12:00:00 AM,,,12/07/2012 12:00:00 AM,,1404938,421027,
OVER-THE-RHINE,"308 MOHAWK ST
Cincinnati, OH
(39.120987446264905, -84.52499971813347)",Graffiti removal,SR12053304,NEW     ,GRAFFITI ON THE FRONT OF THE HOUSE,12/07/2012 12:00:00 AM,4:49 PM,308 MOHAWK ST - GJ1396733131,16,STANDARD,PHONE,9600040116,12/07/2012 12:00:00 AM,CCOLEMAN,01/06/2013 12:00:00 AM,,,12/07/2012 12:00:00 AM,,1394058,414758,
WESTWOOD,"2413 FERGUSON RD
Cincinnati, OH
(39.13062817841899, -84.60068666011938)",Graffiti removal,SR12053267,NEW     ,GRAFFITI ON THE SIDE OF THE BUILDING,12/07/2012 12:00:00 AM,12:56 PM,2413 FERGUSON RD - GJ0737034015,109,STANDARD,PHONE,24800010285,12/07/2012 12:00:00 AM,CCOLEMAN,01/06/2013 12:00:00 AM,,,12/07/2012 12:00:00 AM,,1372589,418729,
CUF,"341 CITY VIEW PL
Cincinnati, OH
(39.12305588693226, -84.5254583723684)",Graffiti removal,SR12053204,NEW     ,The graffiti is on the end of the street City View Place,12/07/2012 12:00:00 AM,8:46 AM,341 CITY VIEW PL CINC - GJ1391533332,26,STANDARD,INTERNET,9600020251,12/07/2012 12:00:00 AM,CSRWEB,01/06/2013 12:00:00 AM,,,12/07/2012 12:00:00 AM,,1393922,415430,
OVER-THE-RHINE,"1835 VINE ST
Cincinnati, OH
(39.116055329572234, -84.5167924777626)",Graffiti removal,SR12053189,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/06/2012 12:00:00 AM,10:11 PM,1835 VINE ST CINC - GJ1464832660,16,STANDARD,INTERNET,9400080353,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1396212,413106,
CUF,"2341 W MCMICKEN AV
Cincinnati, OH
(39.1244498360777, -84.53235617233315)",Graffiti removal,SR12053122,NEW     ,Accessible from McMillan,12/06/2012 12:00:00 AM,12:27 PM,2341 W MCMICKEN AV CINC - GJ1329033492,14,STANDARD,INTERNET,9700010014,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1391900,416053,W 
CUF,"2335 W MCMICKEN AV
Cincinnati, OH
(39.124314937773306, -84.53239214521432)",Graffiti removal,SR12053121,NEW     ,Accessible from McMillan,12/06/2012 12:00:00 AM,12:25 PM,2335 W MCMICKEN AV CINC - GJ1328633478,14,STANDARD,INTERNET,9700010015,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1391883,416008,W 
